Method,Test Size,MAE
Ensemble,0.1,1.5228225986052186
U-Net,0.1,67.08205914842122
Transformer,0.1,1.9735266821725028
IDW,0.2,0.9931931400113793
Kriging,0.2,3.807596065062898
Ensemble,0.2,1.4688970451120988
U-Net,0.2,64.9036546966653
Transformer,0.2,1.6291866334439122
IDW,0.3,0.8817482009984221
Kriging,0.3,3.523730633304608
Ensemble,0.3,1.3486777875794953
U-Net,0.3,64.68824951248277
Transformer,0.3,1.8509159161213258
IDW,0.4,0.9859984405611624
Kriging,0.4,2.963350129721137
Ensemble,0.4,1.4630438659092972
U-Net,0.4,63.557120194447094
Transformer,0.4,1.798234496797834
IDW,0.5,1.302438785512286
Kriging,0.5,2.4237214291940963
Ensemble,0.5,1.5885569271706146
U-Net,0.5,64.36891261563473
Transformer,0.5,1.6036726309850453
