gps.lat,gps.lon,altitudeAMSL,localPosition.x,localPosition.y,localPosition.z,pressure,temperature,humidity,gas_resistance,distance_to_tower,azimuth,elevation_angle
52.6075899,1.5423218,30200,-63.2,-34.1,-18.7,1014.666118,8.559882813,70.41240202,600762,0.073769335,27.05024445,-13.91951446
52.6075764,1.5423627,30200,-63.2,-34.1,-18.7,1014.676203,8.557734375,70.39853122,601821,0.073911231,24.61071255,-13.91951446
52.6075529,1.5424367,30200,-67.5,-26.1,-18.7,1014.674759,8.56203125,70.39234118,605022,0.074410297,20.26604466,-13.83036334
52.60754,1.5424793,30200,-67.5,-26.1,-18.7,1014.670583,8.559492188,70.35127715,600762,0.074823382,17.81607647,-13.83036334
52.6075241,1.5425322,30300,-71.6,-18.1,-18.8,1014.678619,8.574726563,70.33303619,604486,0.075512101,14.82116703,-13.65693685
52.6075081,1.5425854,30300,-71.6,-18.1,-18.8,1014.67788,8.5753125,70.33311744,605022,0.076410637,11.87204498,-13.65693685
52.6075081,1.5425854,30300,-71.6,-18.1,-18.8,1014.688608,8.573554688,70.29895571,602884,0.076410637,11.87204498,-13.65693685
52.6074952,1.5426267,30400,-75.7,-10,-18.8,1014.68787,8.574140625,70.29225396,607715,0.077297874,9.627980916,-13.2533435
52.607478,1.5426773,30400,-75.7,-10,-18.8,1014.703103,8.595820313,70.28847623,610432,0.07869712,6.93945069,-13.2533435
52.6074563,1.5427407,30400,-75.7,-10,-18.8,1014.710397,8.601289063,70.27566907,611525,0.080702595,3.711179778,-13.2533435
52.6074387,1.5427947,30400,-80.2,-2.1,-18.9,1014.721542,8.59875,70.36350696,611525,0.082506127,1.093473403,-12.73306752
52.6074213,1.5428472,30400,-80.2,-2.1,-18.9,1014.727004,8.602070313,70.21474397,612623,0.08445045,358.6611475,-12.73306752
52.6074012,1.5429079,30400,-84.5,6,-18.9,1014.733433,8.616328125,70.2167195,614277,0.086877711,355.990198,-12.10907056
52.6074012,1.5429079,30400,-84.5,6,-18.9,1014.740018,8.61515625,70.16909793,618731,0.086877711,355.990198,-12.10907056
52.6073847,1.5429586,30400,-84.5,6,-18.9,1014.740633,8.633125,70.18514606,613724,0.089011164,353.8723619,-12.10907056
52.6073676,1.5430092,30300,-88.7,13.9,-18.8,1014.735136,8.616328125,70.10825677,614830,0.09132615,351.8663445,-11.40961868
52.6073534,1.5430502,30300,-88.7,13.9,-18.8,1014.73019,8.621601563,70.10898676,612623,0.093318442,350.3193319,-11.40961868
52.6073383,1.5430931,30200,-92.6,20.8,-18.7,1014.718915,8.621992188,70.09548678,618731,0.095499489,348.7740146,-10.77092559
52.6073289,1.5431199,30200,-92.6,20.8,-18.7,1014.715317,8.623945313,70.0822039,618731,0.096892523,347.843862,-10.77092559
52.6073167,1.5431616,30200,-92.6,20.8,-18.7,1014.707029,8.625117188,70.04848675,619292,0.098846803,346.412478,-10.77092559
52.6073167,1.5431616,30200,-92.6,20.8,-18.7,1014.691608,8.615742188,70.0404146,618170,0.098846803,346.412478,-10.77092559
52.607307,1.5432168,30200,-95.6,26.8,-18.7,1014.68515,8.608710938,70.01234391,615939,0.100833112,344.495628,-10.32097653
52.6073125,1.5432536,30200,-95.6,26.8,-18.7,1014.680199,8.59328125,69.9898897,619854,0.100944018,343.0421756,-10.32097653
52.6073209,1.543309,30200,-94.2,34.3,-18.7,1014.676115,8.579414063,69.98797322,619292,0.101220957,340.8597857,-10.23771132
52.6073269,1.5433541,30200,-94.2,34.3,-18.7,1014.664774,8.573554688,69.97361776,620418,0.101641792,339.1125617,-10.23771132
52.6073333,1.5434112,30300,-92.4,43.1,-18.8,1014.665254,8.568671875,69.97971594,625534,0.102431792,336.9527349,-10.14058579
52.6073333,1.5434112,30300,-92.4,43.1,-18.8,1014.654076,8.568085938,69.97286224,625534,0.102431792,336.9527349,-10.14058579
52.6073409,1.5434833,30300,-92.4,43.1,-18.8,1014.657318,8.5628125,69.9924525,624961,0.103682397,334.2900641,-10.14058579
52.6073437,1.5435088,30300,-92.4,43.1,-18.8,1014.665283,8.561445313,69.99903694,627258,0.104166445,333.3612308,-10.14058579
52.6073464,1.5435235,30300,-91.4,48.6,-18.8,1014.672122,8.55421875,69.97094676,624390,0.104350438,332.7994372,-10.0013335
52.6073498,1.5435157,30300,-91.4,48.6,-18.8,1014.680855,8.545039063,70.23396778,619854,0.103772516,332.9628693,-10.0013335
52.6073746,1.543445,30300,-89,45.1,-18.7,1014.736835,8.536640625,69.97529171,624961,0.099179794,334.6975627,-10.3066499
52.6073899,1.5434,30300,-89,45.1,-18.7,1014.740342,8.546015625,69.97658638,624390,0.09635699,335.9001644,-10.3066499
52.6073899,1.5434,30300,-89,45.1,-18.7,1014.742749,8.542304688,70.25393263,627835,0.09635699,335.9001644,-10.3066499
52.6074031,1.5433659,30300,-85,38.1,-18.8,1014.742529,8.551484375,69.97734169,629572,0.094083539,336.8162776,-11.06444363
52.6074209,1.5433206,30300,-85,38.1,-18.8,1014.748792,8.550117188,69.96360792,629572,0.09107557,338.096529,-11.06444363
52.6074351,1.5432832,30200,-80.5,30.7,-18.7,1014.737681,8.55578125,69.95761795,635432,0.088680251,339.2311173,-11.85152296
52.6074586,1.5432162,30200,-80.5,30.7,-18.7,1014.72679,8.552265625,69.96390462,628413,0.084687749,341.4689631,-11.85152296
52.6074743,1.5431655,30200,-80.5,30.7,-18.7,1014.727117,8.5628125,69.95181698,630153,0.081982086,343.3519014,-11.85152296
52.6074866,1.5431249,30200,-76.4,23,-18.7,1014.722906,8.557148438,69.93749143,628413,0.079912667,344.9558523,-12.73660735
52.6074866,1.5431249,30200,-76.4,23,-18.7,1014.721492,8.55421875,70.00481199,629572,0.079912667,344.9558523,-12.73660735
52.6075025,1.543075,30200,-76.4,23,-18.7,1014.719981,8.552265625,70.00454215,634841,0.0773756,347.0278495,-12.73660735
52.6075149,1.5430365,30200,-72.2,14.9,-18.7,1014.718763,8.557734375,70.07304474,635432,0.075477244,348.7176702,-13.70473675
52.6075375,1.5429696,30200,-72.2,14.9,-18.7,1014.747985,8.544453125,70.41026166,631319,0.072230513,351.8458439,-13.70473675
52.6075536,1.54292,30200,-68,7.1,-18.7,1014.698842,8.545625,70.13913811,631319,0.070046737,354.3527387,-14.68272229
52.6075704,1.5428695,30200,-68,7.1,-18.7,1014.660551,8.536835938,70.30743363,634252,0.067925257,357.0631571,-14.68272229
52.6075826,1.5428317,30200,-68,7.1,-18.7,1014.636746,8.529609375,70.20471053,631319,0.066484477,359.2021407,-14.68272229
52.6075826,1.5428317,30200,-68,7.1,-18.7,1014.619848,8.52140625,70.25782041,639001,0.066484477,359.2021407,-14.68272229
52.6075907,1.542793,29400,-64.4,0.6,-17.9,1014.605519,8.514765625,70.27046437,635432,0.065598506,1.475728795,-14.84954002
52.6075938,1.5427733,29400,-64.4,0.6,-17.9,1014.595464,8.5096875,70.25619812,634841,0.065301923,2.651249589,-14.84954002
52.607595,1.5427792,29100,-63.7,-1.5,-17.6,1014.593406,8.506367188,70.27608356,639600,0.065151184,2.30642968,-14.74356218
52.6075946,1.542789,29100,-63.7,-1.5,-17.6,1014.597645,8.504804688,70.26908536,636024,0.065172269,1.723111393,-14.74356218
52.6075916,1.5427953,29900,-64.1,-0.4,-18.4,1014.601405,8.508125,70.25598184,639001,0.065494545,1.342062654,-15.31662438
52.6075916,1.5427953,29900,-64.1,-0.4,-18.4,1014.611551,8.501875,70.26867981,639600,0.065494545,1.342062654,-15.31662438
52.6075824,1.5428255,29900,-64.1,-0.4,-18.4,1014.604837,8.500898438,70.25498159,636617,0.066502195,359.5633421,-15.31662438
52.6075616,1.5429082,30000,-67.2,6.7,-18.5,1014.605412,8.495039063,70.26095202,640200,0.069085617,354.9382098,-14.6962306
52.6075507,1.5429536,30000,-67.2,6.7,-18.5,1014.598547,8.509492188,70.31721229,646873,0.070627728,352.5451233,-14.6962306
52.607536,1.5429998,30100,-70.9,14.6,-18.6,1014.589393,8.509101563,70.28324426,644430,0.072714171,350.2723969,-13.86971601
52.6075218,1.5430332,30100,-70.9,14.6,-18.6,1014.591772,8.512617188,70.25660366,643822,0.074680519,348.7702058,-13.86971601
52.6075037,1.5430779,30100,-70.9,14.6,-18.6,1014.581395,8.50734375,70.31013152,647486,0.077290012,346.8640412,-13.86971601
