,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr,,,,,,,,,,,,distance_to_tower,azimuth,elevation_angle,,rsrp_mae,distX100
166,-91.66544,-9.6401825,-4.906958,-87,-11,-1,,,,,,,,,,,,0.098367679,334.7875964,-10.58966262,,-4.66544,9.8367679
167,-94.40216,-12.107308,-6.673877,-87,-11,-1,,,,,,,,,,,,0.095197492,336.4297726,-10.58966262,,-7.40216,9.5197492
168,-92.10814,-8.763272,-3.0808449,-87,-11,-1,,,,,,,,,,,,0.092582563,337.9753888,-11.19794324,,-5.10814,9.2582563
169,-92.64872,-13.745284,-9.541417,-91,-13,-11,,,,,,,,,,,,0.092582563,337.9753888,-11.19794324,,-1.64872,9.2582563
170,-91.61258,-12.207977,-12.229221,-91,-13,-11,,,,,,,,,,,,0.089814585,339.6482001,-11.19794324,,-0.61258,8.9814585
171,-93.69949,-12.523703,-7.6666603,-91,-13,-11,,,,,,,,,,,,0.087516293,340.9966631,-11.95105224,,-2.69949,8.7516293
172,-98.60449,-14.465609,-10.567224,-91,-13,-11,,,,,,,,,,,,0.084585784,342.7311377,-11.95105224,,-7.60449,8.4585784
173,-94.18072,-11.637656,-7.4689627,-91,-13,-11,,,,,,,,,,,,0.080690441,345.4021375,-11.95105224,,-3.18072,8.0690441
174,-96.15533,-12.971974,-6.7943125,-91,-13,-11,,,,,,,,,,,,0.078621642,347.0601355,-12.89358323,,-5.15533,7.8621642
175,-92.49264,-11.901408,-7.5887628,-91,-13,-11,,,,,,,,,,,,0.078621642,347.0601355,-12.89358323,,-1.49264,7.8621642
176,-96.11304,-13.258554,-9.646888,-91,-13,-11,,,,,,,,,,,,0.075955861,349.1896724,-12.89358323,,-5.11304,7.5955861
177,-92.87514,-11.816122,-7.7681355,-91,-13,-11,,,,,,,,,,,,0.073272016,351.4498125,-13.90548946,,-1.87514,7.3272016
178,-95.96298,-12.317451,-4.911063,-91,-13,-11,,,,,,,,,,,,0.071312245,353.4977747,-13.90548946,,-4.96298,7.1312245
179,-95.4646,-12.709345,-8.289477,-91,-13,-11,,,,,,,,,,,,0.068341602,357.376013,-14.88821613,,-4.4646,6.8341602
180,-96.913124,-12.338002,-5.419902,-96,-12,-6,,,,,,,,,,,,0.066400835,0.268224014,-14.88821613,,-0.913124,6.6400835
181,-93.650406,-12.405094,-6.4453,-96,-12,-6,,,,,,,,,,,,0.064968447,2.664868095,-14.88821613,,2.349594,6.4968447
182,-99.3004,-15.575786,-9.240926,-96,-12,-6,,,,,,,,,,,,0.064968447,2.664868095,-14.88821613,,-3.3004,6.4968447
183,-94.915924,-11.85858,-6.7254176,-96,-12,-6,,,,,,,,,,,,0.063371971,5.857259188,-15.74414268,,1.084076,6.3371971
184,-96.21977,-12.495637,-8.776748,-96,-12,-6,,,,,,,,,,,,0.062250222,8.590964739,-15.74414268,,-0.21977,6.2250222
185,-98.14665,-13.877073,-8.788246,-93,-10,-20,,,,,,,,,,,,0.060680039,13.70385198,-16.55710434,,-5.14665,6.0680039
186,-94.57045,-12.883028,-7.95568,-93,-10,-6,,,,,,,,,,,,0.059927922,17.49899909,-16.55710434,,-1.57045,5.9927922
187,-97.10156,-11.7781105,-5.055731,-93,-10,-6,,,,,,,,,,,,0.059403703,20.55130087,-17.08505855,,-4.10156,5.9403703
188,-94.68404,-11.797166,-8.174057,-93,-10,-6,,,,,,,,,,,,0.058903073,24.41191047,-17.08505855,,-1.68404,5.8903073
189,-93.76151,-12.149708,-7.524892,-93,-10,-6,,,,,,,,,,,,0.058903073,24.41191047,-17.08505855,,-0.76151,5.8903073
