,pred,real
368,-65.43764,-63.0
369,-64.026085,-63.0
370,-64.064896,-63.0
371,-63.525936,-63.0
372,-62.445366,-63.0
373,-62.196823,-61.0
374,-62.136223,-61.0
375,-62.26564,-61.0
376,-61.276726,-61.0
377,-61.288338,-61.0
378,-61.20413,-61.0
379,-61.52037,-61.0
380,-61.51809,-61.0
381,-61.82162,-61.0
382,-62.211487,-61.0
383,-61.645,-61.0
384,-61.850677,-61.0
385,-62.746975,-61.0
386,-62.926163,-61.0
387,-63.064056,-61.0
388,-63.38442,-63.0
389,-63.39853,-63.0
390,-63.38195,-63.0
391,-63.57521,-63.0
392,-63.504425,-63.0
393,-63.45604,-63.0
394,-63.51923,-63.0
395,-63.42301,-63.0
396,-63.09858,-63.0
397,-63.339775,-63.0
398,-62.68754,-61.0
399,-62.027184,-61.0
400,-61.9859,-61.0
401,-62.328396,-61.0
402,-62.582943,-61.0
403,-62.99716,-61.0
404,-63.142002,-63.0
405,-63.348648,-63.0
406,-63.61118,-63.0
407,-63.676598,-63.0
408,-63.71178,-63.0
409,-63.467487,-63.0
410,-63.294388,-63.0
411,-63.227295,-63.0
412,-63.093636,-63.0
413,-62.79069,-63.0
414,-63.023254,-63.0
415,-62.9533,-61.0
416,-62.808056,-61.0
417,-62.83746,-61.0
418,-62.3974,-61.0
419,-62.19283,-61.0
420,-62.56028,-61.0
421,-61.042477,-61.0
422,-62.016518,-61.0
423,-64.143936,-65.0
424,-66.033356,-65.0
425,-65.88626,-65.0
426,-65.42262,-65.0
427,-65.40413,-65.0
428,-65.219315,-65.0
429,-65.31057,-65.0
430,-65.1816,-65.0
431,-65.34276,-65.0
432,-65.29857,-65.0
433,-65.88228,-65.0
434,-66.026855,-65.0
435,-66.414825,-67.0
436,-66.98561,-67.0
437,-66.88776,-67.0
438,-66.92733,-67.0
439,-67.2991,-67.0
440,-67.40875,-67.0
441,-67.316986,-67.0
442,-67.27393,-67.0
443,-67.41399,-67.0
444,-67.38704,-67.0
445,-67.31476,-67.0
446,-67.23135,-67.0
447,-66.81505,-67.0
448,-67.23726,-67.0
449,-67.193726,-67.0
450,-67.05824,-67.0
451,-67.19043,-67.0
452,-67.40312,-67.0
453,-67.31871,-67.0
454,-67.632355,-67.0
455,-67.39898,-67.0
456,-67.32645,-67.0
457,-66.91774,-67.0
458,-67.18727,-67.0
459,-67.913895,-67.0
460,-67.7256,-67.0
461,-68.30801,-67.0
462,-69.26517,-69.0
463,-69.59851,-69.0
464,-69.58697,-69.0
465,-69.86966,-69.0
466,-70.05701,-69.0
467,-70.2401,-69.0
468,-70.36049,-69.0
469,-70.44981,-69.0
470,-70.340485,-69.0
471,-70.438354,-69.0
472,-71.11386,-69.0
473,-71.494,-69.0
474,-71.74945,-69.0
475,-71.64873,-69.0
476,-71.8731,-69.0
477,-71.93022,-69.0
478,-71.85289,-69.0
479,-72.343124,-69.0
480,-72.02715,-69.0
481,-71.376305,-69.0
482,-70.11479,-69.0
483,-67.584915,-69.0
484,-66.86682,-59.0
485,-58.509075,-59.0
486,-58.634476,-59.0
487,-60.272903,-59.0
488,-65.19684,-59.0
489,-70.612595,-75.0
490,-73.20467,-75.0
491,-64.93799,-59.0
492,-63.51559,-61.0
493,-63.120277,-67.0
494,-68.769905,-71.0
495,-72.13803,-71.0
496,-71.756935,-71.0
497,-71.436874,-71.0
498,-70.94268,-71.0
499,-70.34751,-71.0
500,-71.20506,-71.0
501,-71.46174,-71.0
502,-71.4193,-71.0
503,-72.01789,-71.0
504,-72.89949,-71.0
505,-73.1372,-77.0
506,-77.14278,-77.0
507,-77.09457,-77.0
508,-73.76051,-77.0
509,-70.834854,-61.0
510,-62.307358,-61.0
511,-62.493076,-61.0
512,-61.44301,-61.0
513,-61.410168,-61.0
514,-61.173866,-61.0
515,-61.309555,-61.0
516,-61.38461,-61.0
517,-61.31366,-61.0
518,-61.54419,-61.0
519,-61.582573,-61.0
520,-61.65191,-61.0
521,-61.68355,-61.0
522,-63.17264,-61.0
523,-63.31899,-63.0
524,-64.11183,-63.0
525,-63.783943,-63.0
526,-63.579636,-63.0
527,-63.922363,-63.0
528,-63.882008,-63.0
529,-64.11725,-63.0
530,-63.86045,-63.0
531,-63.88832,-63.0
532,-63.477554,-63.0
533,-63.54514,-63.0
534,-63.093117,-63.0
535,-62.223465,-61.0
536,-61.67344,-61.0
537,-61.135048,-61.0
538,-61.309914,-61.0
539,-60.969852,-61.0
540,-61.0595,-61.0
541,-61.2527,-61.0
542,-60.999695,-61.0
543,-61.448975,-61.0
544,-61.215668,-61.0
545,-61.190704,-61.0
546,-61.576115,-61.0
547,-61.32258,-61.0
548,-62.02939,-61.0
549,-61.92059,-61.0
550,-61.515045,-61.0
551,-61.563988,-61.0
552,-62.032223,-61.0
553,-66.05789,-63.0
554,-62.806896,-61.0
555,-64.07784,-61.0
556,-64.8272,-65.0
557,-65.7303,-65.0
558,-65.802284,-65.0
559,-65.36922,-65.0
560,-64.71068,-65.0
561,-63.998924,-63.0
562,-63.580757,-63.0
563,-63.304737,-63.0
564,-63.447674,-63.0
565,-63.28602,-63.0
566,-63.471676,-63.0
567,-63.973957,-63.0
568,-64.20334,-63.0
569,-64.41954,-63.0
570,-64.82416,-67.0
571,-64.94502,-65.0
572,-65.0428,-65.0
573,-64.89205,-65.0
574,-64.673645,-65.0
575,-64.31207,-65.0
576,-64.05845,-65.0
577,-63.69465,-63.0
578,-63.628284,-63.0
579,-63.348343,-63.0
580,-63.181095,-63.0
581,-62.739777,-63.0
582,-62.500584,-63.0
583,-61.96059,-63.0
584,-61.765427,-61.0
585,-61.78964,-61.0
586,-61.714355,-61.0
587,-61.922424,-61.0
588,-62.54085,-63.0
589,-62.908974,-63.0
590,-63.19628,-63.0
591,-63.396397,-63.0
592,-63.322334,-63.0
593,-63.780056,-63.0
594,-63.902187,-63.0
595,-64.31444,-63.0
596,-66.41638,-63.0
597,-67.253845,-67.0
598,-68.88141,-67.0
599,-69.81373,-69.0
600,-70.0508,-69.0
601,-70.326294,-69.0
602,-70.29284,-69.0
603,-70.6375,-69.0
604,-70.78634,-69.0
605,-70.86911,-71.0
606,-71.42302,-71.0
607,-71.91374,-71.0
608,-72.860275,-71.0
609,-72.79637,-71.0
610,-72.92058,-71.0
611,-72.16081,-71.0
612,-71.235535,-71.0
613,-69.51696,-61.0
614,-54.299995,-55.0
615,-54.128983,-55.0
616,-54.54889,-55.0
617,-56.405334,-55.0
618,-71.05571,-67.0
619,-72.75482,-71.0
620,-73.32889,-71.0
621,-73.900894,-73.0
622,-73.419846,-73.0
623,-73.79425,-73.0
624,-71.11988,-73.0
625,-69.988266,-67.0
626,-69.37538,-67.0
627,-65.945786,-67.0
628,-65.5785,-67.0
629,-68.763725,-67.0
630,-70.89516,-75.0
631,-73.978485,-75.0
632,-74.16377,-75.0
633,-75.75293,-75.0
634,-76.139786,-75.0
635,-76.04753,-75.0
636,-76.12894,-75.0
637,-75.65045,-75.0
638,-75.34148,-75.0
639,-74.995544,-75.0
640,-75.7554,-75.0
641,-75.29162,-75.0
642,-76.15857,-75.0
643,-67.37119,-61.0
644,-61.487663,-61.0
645,-61.155094,-57.0
646,-61.07855,-61.0
647,-61.00506,-61.0
648,-61.108246,-61.0
649,-61.296448,-61.0
650,-61.50132,-61.0
651,-61.801437,-61.0
652,-61.779087,-61.0
653,-61.545498,-61.0
654,-61.437824,-61.0
655,-61.626846,-61.0
656,-61.761593,-61.0
657,-61.86284,-61.0
658,-62.514214,-61.0
659,-63.47396,-63.0
660,-63.785713,-63.0
661,-64.10928,-63.0
662,-64.19881,-63.0
663,-64.062675,-63.0
664,-63.829803,-63.0
665,-63.54033,-63.0
666,-63.568,-63.0
667,-64.37257,-63.0
668,-66.00491,-63.0
669,-68.132,-63.0
670,-69.00307,-69.0
671,-70.100845,-69.0
672,-71.115555,-69.0
673,-70.67546,-69.0
674,-71.76367,-69.0
675,-70.972046,-69.0
676,-70.685135,-69.0
677,-70.637535,-69.0
678,-70.68799,-69.0
679,-70.93572,-69.0
680,-70.60896,-69.0
681,-60.390385,-59.0
682,-60.505844,-59.0
683,-64.09207,-63.0
684,-63.86505,-63.0
685,-62.630264,-63.0
686,-63.526382,-63.0
