Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
Kriging,0.1,3.606824681,,Transformer,0.2,2.121260574,,U-Net,0.2,63.43201652,,Ensemble,0.2,1.326218418,,IDW,0.2,0.768351776,,Kriging,0.2,3.283679237
Ensemble,0.1,1.209081479,,Transformer,0.3,1.598356196,,U-Net,0.3,62.41514956,,Ensemble,0.3,1.431507322,,IDW,0.3,1.038253237,,Kriging,0.3,3.200813008
U-Net,0.1,67.8089645,,Transformer,0.4,2.15480113,,U-Net,0.4,63.97529822,,Ensemble,0.4,1.51615587,,IDW,0.4,1.1247972,,Kriging,0.4,2.729204706
Transformer,0.1,2.037011873,,Transformer,0.5,1.933752965,,U-Net,0.5,63.95557458,,Ensemble,0.5,1.642740605,,IDW,0.5,1.585659125,,Kriging,0.5,3.029451475
IDW,0.2,0.769151688,,Transformer,0.1,1.785049938,,U-Net,0.1,60.84590601,,Ensemble,0.1,1.364887129,,IDW,0.1,1.015032841,,Kriging,0.1,3.889895027
Kriging,0.2,2.568193812,,Transformer,0.2,1.568898979,,U-Net,0.2,64.82875523,,Ensemble,0.2,1.266396004,,IDW,0.2,0.844529936,,Kriging,0.2,3.388544625
Ensemble,0.2,1.272453834,,Transformer,0.3,2.051967168,,U-Net,0.3,65.58288556,,Ensemble,0.3,1.30340011,,IDW,0.3,0.817671652,,Kriging,0.3,3.529702602
U-Net,0.2,64.21210313,,Transformer,0.4,1.739210691,,U-Net,0.4,64.88158172,,Ensemble,0.4,1.556513107,,IDW,0.4,0.901024317,,Kriging,0.4,2.113592384
Transformer,0.2,1.714425501,,Transformer,0.5,1.537526435,,U-Net,0.5,65.52553406,,Ensemble,0.5,1.833645713,,IDW,0.5,1.476272342,,Kriging,0.5,3.847818333
IDW,0.3,1.13028749,,Transformer,0.1,1.85902205,,U-Net,0.1,63.15569583,,Ensemble,0.1,0.960614961,,IDW,0.1,0.638256589,,Kriging,0.1,2.619206218
Kriging,0.3,2.252120155,,Transformer,0.2,2.250497112,,U-Net,0.2,62.32544113,,Ensemble,0.2,1.429089904,,IDW,0.2,0.675361402,,Kriging,0.2,2.771483682
Ensemble,0.3,1.505754042,,Transformer,0.3,1.606697696,,U-Net,0.3,65.45806118,,Ensemble,0.3,1.339612633,,IDW,0.3,0.925253503,,Kriging,0.3,3.504958981
U-Net,0.3,63.68954417,,Transformer,0.4,1.647050261,,U-Net,0.4,63.99507188,,Ensemble,0.4,1.586318984,,IDW,0.4,1.288249817,,Kriging,0.4,3.25934113
Transformer,0.3,1.577137446,,Transformer,0.5,1.608286901,,U-Net,0.5,64.6730657,,Ensemble,0.5,1.762560403,,IDW,0.5,1.319878337,,Kriging,0.5,4.065724945
IDW,0.4,0.854989337,,Transformer,0.1,1.916708288,,U-Net,0.1,62.04283768,,Ensemble,0.1,1.157242703,,IDW,0.1,0.457372744,,Kriging,0.1,2.736372608
Kriging,0.4,4.043162901,,Transformer,0.2,1.768057333,,U-Net,0.2,63.65095707,,Ensemble,0.2,1.551143128,,IDW,0.2,1.083458069,,Kriging,0.2,3.750214228
Ensemble,0.4,1.55248349,,Transformer,0.3,1.588198929,,U-Net,0.3,63.8625309,,Ensemble,0.3,1.378618374,,IDW,0.3,1.232827914,,Kriging,0.3,3.82639421
U-Net,0.4,65.204947,,Transformer,0.4,1.742394107,,U-Net,0.4,70.06938078,,Ensemble,0.4,1.51615587,,IDW,0.4,1.1247972,,Kriging,0.4,2.729204706
Transformer,0.4,1.688428538,,Transformer,0.5,1.508950937,,U-Net,0.5,64.12038488,,Ensemble,0.5,1.648408768,,IDW,0.5,1.254080123,,Kriging,0.5,3.76176345
IDW,0.5,1.243876699,,Transformer,0.1,1.973526682,,U-Net,0.1,67.08205915,,Ensemble,0.1,1.522822599,,IDW,0.1,1.337574455,,Kriging,0.1,3.170577387
Kriging,0.5,3.606076879,,Transformer,0.2,1.629186633,,U-Net,0.2,64.9036547,,Ensemble,0.2,1.468897045,,IDW,0.2,0.99319314,,Kriging,0.2,3.807596065
Ensemble,0.5,1.701461267,,Transformer,0.3,1.850915916,,U-Net,0.3,64.68824951,,Ensemble,0.3,1.348677788,,IDW,0.3,0.881748201,,Kriging,0.3,3.523730633
U-Net,0.5,64.3912795,,Transformer,0.4,1.798234497,,U-Net,0.4,63.55712019,,Ensemble,0.4,1.463043866,,IDW,0.4,0.985998441,,Kriging,0.4,2.96335013
Transformer,0.5,1.720517545,,Transformer,0.5,1.603672631,,U-Net,0.5,64.36891262,,Ensemble,0.5,1.588556927,,IDW,0.5,1.302438786,,Kriging,0.5,2.423721429
IDW,0.1,1.223691824,,,,,,,,,,,,,,,,,,,,
Kriging,0.1,2.057759499,,,,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.415987175,,,,,,,,,,,,,,,,,,,,
U-Net,0.1,68.4041097,,,,,,,,,,,,,,,,,,,,
Transformer,0.1,1.406006824,,,,,,,,,,,,,,,,,,,,
IDW,0.2,1.375138463,,,,,,,,,,,,,,,,,,,,
Kriging,0.2,4.194456634,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.42695941,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,64.58625105,,,,,,,,,,,,,,,,,,,,
